,"Ciudades / Total
mensual","Consumo de
10m3 con
contador
individual de
13mm","Incremento
% con
respecto a
2018","Consumo
de 20m3
con
contador
individual
de 13mm","Incremento
% con
respecto a
2018","Consumo de
10m3 con
contador
individual de
15mm","Incremento
% con
respecto a
2018","Consumo
de 20m3
con
contador
individual
de 15mm","Incremento
% con
respecto a
2018","Precio medio
2019","Precio medio
2018","Incremento %
con respecto a
2018"
30,Murcia (Emuasa),"28,43 €","0,0%","49,29 €","0,0%","28,43 €","0,0%","49,29 €","0,0%","38,86 €","38,86 €","0,0%"
31,Ourense (Viaqua),"8,67 €","0,0%","20,55 €","0,0%","8,67 €","0,0%","20,55 €","0,0%","14,61 €","14,61 €","0,0%"
32,Oviedo (Aqualia),"8,58 €","0,0%","20,11 €","0,0%","8,58 €","0,0%","20,11 €","0,0%","14,35 €","14,35 €","0,0%"
33,Palencia (Aquona),"11,96 €","0,0%","20,38 €","0,0%","11,96 €","0,0%","20,38 €","0,0%","16,17 €","16,17 €","0,0%"
34,"Palma de Mallorca
(Emaya)","22,50 €","0,0%","46,74 €","0,0%","22,50 €","0,0%","46,74 €","0,0%","34,62 €","34,62 €","0,0%"
35,"Pamplona
(Mancomunidad de
Pamplona)","14,10 €","1,1%","23,03 €","0,9%","14,10 €","1,1%","23,03 €","0,9%","18,56 €","18,39 €","1,0%"
36,Pontevedra (Viaqua),"17,71 €","0,0%","33,21 €","0,0%","17,71 €","0,0%","33,21 €","0,0%","25,46 €","25,46 €","0,0%"
37,Salamanca (Aqualia),"12,88 €","2,2%","25,93 €","2,2%","12,88 €","2,2%","25,93 €","2,2%","19,41 €","18,99 €","2,2%"
38,"San Sebastián
(Ayuntamiento)","9,94 €","-38,6%","18,13 €","-40,8%","9,94 €","-38,6%","18,13 €","-40,8%","14,04 €","23,41 €","-40,0%"
39,"S. C. Tenerife
(Emmasa)","18,20 €","0,0%","35,58 €","0,0%","24,13 €","0,0%","41,51 €","0,0%","29,85 €","29,85 €","0,0%"
40,Santander (Aqualia),"16,07 €","0,0%","36,78 €","0,0%","16,07 €","0,0%","36,78 €","0,0%","26,42 €","26,42 €","0,0%"
41,"Santiago de
Compostela
(Viaqua)","16,41 €","0,0%","36,63 €","0,0%","16,41 €","0,0%","36,63 €","0,0%","26,52 €","26,52 €","0,0%"
42,"Segovia
(Ayuntamiento)","13,30 €","0,0%","33,73 €","0,0%","13,30 €","0,0%","33,73 €","0,0%","23,51 €","23,51 €","0,0%"
43,Sevilla (Emasesa),"21,12 €","0,2%","51,44 €","0,1%","21,10 €","0,2%","51,42 €","0,1%","36,27 €","36,22 €","0,1%"
44,"Soria (Aguas de
Soria)","8,38 €","2,3%","19,00 €","2,3%","8,38 €","2,3%","19,00 €","2,3%","13,69 €","13,38 €","2,3%"
45,Tarragona (Ematsa),"17,75 €","0,0%","57,68 €","0,0%","17,75 €","0,0%","57,68 €","0,0%","37,71 €","37,71 €","0,0%"
46,"Teruel (Aguas de
Teruel)","18,83 €","0,0%","35,73 €","0,0%","18,83 €","0,0%","35,73 €","0,0%","27,28 €","27,28 €","0,0%"
47,Toledo (Tagus),"13,47 €","2,8%","29,87 €","4,0%","13,47 €","2,8%","29,87 €","4,0%","21,67 €","20,91 €","3,6%"
48,Valencia (Emivasa),"20,24 €","0,0%","33,17 €","0,0%","22,10 €","0,0%","35,03 €","0,0%","27,63 €","27,63 €","0,0%"
49,"Valladolid (Entidad
Pública Empresarial
Aquavall)","10,82 €","0,0%","24,14 €","0,0%","10,82 €","0,0%","24,14 €","0,0%","17,48 €","17,48 €","0,0%"
50,Vitoria (Amvisa),"12,06 €","0,0%","25,21 €","0,0%","12,06 €","0,0%","25,21 €","0,0%","18,64 €","18,64 €","0,0%"
51,Zamora (Aquona),"13,63 €","0,0%","27,42 €","0,0%","13,63 €","0,0%","27,42 €","0,0%","20,53 €","20,53 €","0,0%"
52,"Zaragoza (Oficina
Municipal del Agua)","11,31 €","0,0%","26,07 €","0,0%","11,31 €","0,0%","26,07 €","0,0%","18,69 €","18,69 €","0,0%"
53,Media,"15,46 €","-1,0%","33,04 €","-0,8%","15,78 €","-1,0%","33,36 €","-0,8%","24,41 €","24,63 €","-0,9%"
