,"Ciudades / Total
mensual","Consumo
de 9m3 con
contador
individual
de 13mm","Incremento
% con
respecto a
2020","Consumo
de 13m3
con
contador
individual
de 13mm","Incremento
% con
respecto a
2020","Consumo
de 9m3
con
contador
individual
de 15mm","Incremento
% con
respecto a
2020","Consumo
de 13m3
con
contador
individual
de 15mm","Incremento
% con
respecto a
2020"
40,"San Sebastián
(Ayuntamiento)","9,34 €","2,4%","12,72 €","2,6%","9,34 €","2,4%","12,72 €","2,6%"
41,"S. C. Tenerife
(Emmasa)","17,28 €","0,0%","23,41 €","0,0%","23,21 €","0,0%","29,34 €","0,0%"
42,"Santander
(Aqualia)","15,20 €","-0,3%","21,38 €","-0,3%","15,20 €","-0,3%","21,38 €","-0,3%"
43,"Santiago de
Compostela
(Viaqua)","16,12 €","0,0%","22,36 €","0,0%","16,12 €","0,0%","22,36 €","0,0%"
44,"Segovia
(Ayuntamiento)","11,60 €","0,0%","17,27 €","0,0%","11,60 €","0,0%","17,27 €","0,0%"
45,Sevilla (Emasesa),"18,07 €","0,0%","28,22 €","0,0%","18,07 €","0,0%","28,22 €","0,0%"
46,"Soria (Aguas de
Soria)","7,54 €","0,0%","11,56 €","0,0%","7,54 €","0,0%","11,56 €","0,0%"
47,"Tarragona
(Ematsa)","16,19 €","0,0%","23,92 €","0,0%","16,19 €","0,0%","23,92 €","0,0%"
48,"Teruel (Aguas de
Teruel)","17,60 €","0,0%","23,39 €","0,0%","17,60 €","0,0%","23,39 €","0,0%"
49,Toledo (Tagus),"12,40 €","0,0%","17,73 €","0,0%","12,40 €","0,0%","17,73 €","0,0%"
50,Valencia (Emivasa),"21,15 €","0,0%","26,88 €","0,0%","23,01 €","0,0%","28,74 €","0,0%"
51,"Valladolid
(Aquavall)","9,62 €","0,0%","14,56 €","0,0%","9,62 €","0,0%","14,56 €","0,0%"
52,Vigo (Aqualia),"13,44 €","0,0%","17,89 €","0,0%","13,44 €","0,0%","17,89 €","0,0%"
53,Vitoria (Amvisa),"11,23 €","0,0%","14,52 €","0,0%","11,23 €","0,0%","14,52 €","0,0%"
54,Zamora (Aquona),"12,71 €","0,0%","17,77 €","0,0%","12,71 €","0,0%","17,77 €","0,0%"
55,"Zaragoza (Oficina
Municipal del Agua)","20,79 €","0,0%","27,79 €","0,0%","20,79 €","0,0%","27,79 €","0,0%"
56,Media,"14,86 €","0,0%","20,66 €","0,0%","15,16 €","0,0%","20,96 €","0,0%"
